Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime
1,41.0,49.0,10.0,0.0,204.0,10.0,214.0
2,35.0,17.0,7.0,0.0,202.0,10.0,212.0
3,55.0,45.0,13.0,0.0,197.0,10.0,207.0
4,55.0,20.0,19.0,149.0,159.0,10.0,169.0
5,15.0,30.0,26.0,0.0,199.0,10.0,209.0
6,25.0,30.0,3.0,99.0,109.0,10.0,119.0
7,20.0,50.0,5.0,0.0,198.0,10.0,208.0
8,10.0,43.0,9.0,95.0,105.0,10.0,115.0
9,55.0,60.0,16.0,97.0,107.0,10.0,117.0
10,30.0,60.0,16.0,124.0,134.0,10.0,144.0
11,20.0,65.0,12.0,67.0,77.0,10.0,87.0
12,50.0,35.0,19.0,0.0,205.0,10.0,215.0
13,30.0,25.0,23.0,159.0,169.0,10.0,179.0
14,15.0,10.0,20.0,0.0,187.0,10.0,197.0
15,30.0,5.0,8.0,61.0,71.0,10.0,81.0
16,10.0,20.0,19.0,0.0,190.0,10.0,200.0
17,5.0,30.0,2.0,157.0,167.0,10.0,177.0
18,20.0,40.0,12.0,0.0,204.0,10.0,214.0
19,15.0,60.0,17.0,0.0,187.0,10.0,197.0
20,45.0,65.0,9.0,0.0,188.0,10.0,198.0
21,45.0,20.0,11.0,0.0,201.0,10.0,211.0
22,45.0,10.0,18.0,97.0,107.0,10.0,117.0
23,55.0,5.0,29.0,68.0,78.0,10.0,88.0
24,65.0,35.0,3.0,0.0,190.0,10.0,200.0
25,65.0,20.0,6.0,172.0,182.0,10.0,192.0
26,45.0,30.0,17.0,0.0,208.0,10.0,218.0
27,35.0,40.0,16.0,37.0,47.0,10.0,57.0
28,41.0,37.0,16.0,0.0,213.0,10.0,223.0
29,64.0,42.0,9.0,0.0,190.0,10.0,200.0
30,40.0,60.0,21.0,71.0,81.0,10.0,91.0
31,31.0,52.0,27.0,0.0,202.0,10.0,212.0
32,35.0,69.0,23.0,0.0,186.0,10.0,196.0
33,53.0,52.0,11.0,37.0,47.0,10.0,57.0
34,65.0,55.0,14.0,0.0,183.0,10.0,193.0
35,63.0,65.0,8.0,143.0,153.0,10.0,163.0
36,2.0,60.0,5.0,41.0,51.0,10.0,61.0
37,20.0,20.0,8.0,0.0,198.0,10.0,208.0
38,5.0,5.0,16.0,83.0,93.0,10.0,103.0
39,60.0,12.0,31.0,44.0,54.0,10.0,64.0
40,40.0,25.0,9.0,85.0,95.0,10.0,105.0
41,42.0,7.0,5.0,97.0,107.0,10.0,117.0
42,24.0,12.0,5.0,31.0,41.0,10.0,51.0
43,23.0,3.0,7.0,0.0,185.0,10.0,195.0
44,11.0,14.0,18.0,69.0,79.0,10.0,89.0
45,6.0,38.0,16.0,32.0,42.0,10.0,52.0
46,2.0,48.0,1.0,0.0,184.0,10.0,194.0
47,8.0,56.0,27.0,0.0,185.0,10.0,195.0
48,13.0,52.0,36.0,0.0,192.0,10.0,202.0
49,6.0,68.0,30.0,108.0,118.0,10.0,128.0
50,47.0,47.0,13.0,0.0,203.0,10.0,213.0
