0,1,2,3,4,5,6,7,8,9,10
,18.681541692269406,20.615528128088304,16.1245154965971,18.110770276274835,15.132745950421556,19.0,16.0,18.110770276274835,20.09975124224178,16.76305461424021
18.681541692269406,,2.0,3.605551275463989,3.0,4.242640687119285,5.0990195135927845,5.385164807134504,7.0,7.280109889280518,10.198039027185569
20.615528128088304,2.0,,5.0,3.605551275463989,5.830951894845301,5.0990195135927845,6.4031242374328485,7.280109889280518,7.0,10.770329614269007
16.1245154965971,3.605551275463989,5.0,,2.0,1.0,3.605551275463989,2.0,4.47213595499958,5.656854249492381,7.0
18.110770276274835,3.0,3.605551275463989,2.0,,3.0,2.23606797749979,2.8284271247461903,4.0,4.47213595499958,7.280109889280518
15.132745950421556,4.242640687119285,5.830951894845301,1.0,3.0,,4.47213595499958,2.23606797749979,5.0,6.4031242374328485,7.0710678118654755
19.0,5.0990195135927845,5.0990195135927845,3.605551275463989,2.23606797749979,4.47213595499958,,3.0,2.23606797749979,2.23606797749979,5.830951894845301
16.0,5.385164807134504,6.4031242374328485,2.0,2.8284271247461903,2.23606797749979,3.0,,2.8284271247461903,4.47213595499958,5.0
18.110770276274835,7.0,7.280109889280518,4.47213595499958,4.0,5.0,2.23606797749979,2.8284271247461903,,2.0,3.605551275463989
20.09975124224178,7.280109889280518,7.0,5.656854249492381,4.47213595499958,6.4031242374328485,2.23606797749979,4.47213595499958,2.0,,5.0
16.76305461424021,10.198039027185569,10.770329614269007,7.0,7.280109889280518,7.0710678118654755,5.830951894845301,5.0,3.605551275463989,5.0,
